date,open,close
2022-06-16,30305.74,29927.07
2022-06-15,30570.5,30668.53
2022-06-14,30592.34,30364.83
2022-06-13,31144.91,30516.74
2022-06-10,32053.52,31392.79
2022-06-09,32828.62,32272.79
2022-06-08,33087.07,32910.9
2022-06-07,32783.03,33180.14
2022-06-06,33032.04,32915.78
2022-06-03,32986.32,32899.7
2022-06-02,32809.01,33248.28
2022-06-01,33156.31,32813.23
2022-05-31,33160.59,32990.12
2022-05-27,32735.09,33212.96
2022-05-26,32248.17,32637.19
2022-05-25,31816.31,32120.28
2022-05-24,31717.61,31928.62
2022-05-23,31395.89,31880.24
2022-05-20,31426.94,31261.9
2022-05-19,31262.62,31253.13
2022-05-18,32468.67,31490.07
2022-05-17,32427.0,32654.59
2022-05-16,32152.15,32223.42
2022-05-13,31963.86,32196.66
2022-05-12,31699.04,31730.3
2022-05-11,32123.24,31834.11
2022-05-10,32504.09,32160.74
2022-05-09,32685.17,32245.7
2022-05-06,32773.88,32899.37
2022-05-05,33854.17,32997.97
2022-05-04,33171.8,34061.06
2022-05-03,33086.09,33128.79
2022-05-02,32978.49,33061.5
2022-04-29,33787.01,32977.21
2022-04-28,33425.96,33916.39
2022-04-27,33450.92,33301.93
2022-04-26,33907.49,33240.18
2022-04-25,33731.65,34049.46
2022-04-22,34727.38,33811.4
2022-04-21,35258.8,34792.76
2022-04-20,34962.67,35160.79
2022-04-19,34394.62,34911.2
2022-04-18,34411.49,34411.69
2022-04-14,34628.46,34451.23
2022-04-13,34166.64,34564.59
2022-04-12,34412.51,34220.36
2022-04-11,34630.27,34308.08
2022-04-08,34569.24,34721.12
2022-04-07,34439.24,34583.57
2022-04-06,34520.34,34496.51
2022-04-05,34876.33,34641.18
2022-04-04,34799.98,34921.88
2022-04-01,34740.89,34818.27
2022-03-31,35201.52,34678.35
2022-03-30,35273.63,35228.81
2022-03-29,35114.35,35294.19
2022-03-28,34833.03,34955.89
2022-03-25,34702.39,34861.24
2022-03-24,34406.81,34707.94
2022-03-23,34748.84,34358.5
2022-03-22,34583.24,34807.46
2022-03-21,34669.85,34552.99
2022-03-18,34466.72,34754.93
2022-03-17,33995.39,34480.76
2022-03-16,33653.93,34063.1
2022-03-15,32989.27,33544.34
2022-03-14,33000.37,32945.24
2022-03-11,33279.72,32944.19
2022-03-10,33106.77,33174.07
2022-03-09,32860.42,33286.25
2022-03-08,32885.17,32632.64
2022-03-07,33579.75,32817.38
2022-03-04,33655.43,33614.8
2022-03-03,33972.87,33794.66
2022-03-02,33379.51,33891.35
2022-03-01,33813.48,33294.95
2022-02-28,33870.62,33892.6
2022-02-25,33277.22,34058.75
2022-02-24,32830.33,33223.83
2022-02-23,33680.97,33131.76
2022-02-22,33974.09,33596.61
2022-02-18,34310.45,34079.18
2022-02-17,34858.47,34312.03
2022-02-16,34951.83,34934.27
2022-02-15,34686.19,34988.84
2022-02-14,34694.5,34566.17
2022-02-11,35267.89,34738.06
2022-02-10,35630.81,35241.59
2022-02-09,35614.9,35768.06
2022-02-08,35160.68,35462.78
2022-02-07,35108.38,35091.13
2022-02-04,35095.74,35089.74
2022-02-03,35520.08,35111.16
2022-02-02,35378.19,35629.33
2022-02-01,35151.47,35405.24
2022-01-31,34691.17,35131.86
2022-01-28,34135.24,34725.47
2022-01-27,34261.75,34160.78
2022-01-26,34520.82,34168.09
2022-01-25,34186.64,34297.73
2022-01-24,34070.61,34364.5
2022-01-21,34701.69,34265.37
2022-01-20,35102.66,34715.39
2022-01-19,35412.3,35028.65
2022-01-18,35661.76,35368.47
2022-01-14,35996.43,35911.81
2022-01-13,36312.49,36113.62
2022-01-12,36336.16,36290.32
2022-01-11,36058.85,36252.02
2022-01-10,36175.21,36068.87
2022-01-07,36249.59,36231.66
2022-01-06,36409.05,36236.47
2022-01-05,36722.6,36407.11
2022-01-04,36636.0,36799.65
2022-01-03,36321.59,36585.06
2021-12-31,36385.85,36338.3
2021-12-30,36522.48,36398.08
2021-12-29,36421.14,36488.63
2021-12-28,36302.99,36398.21
2021-12-27,35954.48,36302.38
2021-12-23,35782.42,35950.56
2021-12-22,35491.71,35753.89
2021-12-21,35069.5,35492.7
2021-12-20,35222.12,34932.16
2021-12-17,35800.11,35365.44
2021-12-16,36036.28,35897.64
2021-12-15,35549.35,35927.43
2021-12-14,35605.73,35544.18
2021-12-13,35958.93,35650.95
2021-12-10,35830.55,35970.99
2021-12-09,35722.26,35754.69
2021-12-08,35716.85,35754.75
2021-12-07,35423.99,35719.43
2021-12-06,34633.43,35227.03
2021-12-03,34692.78,34580.08
2021-12-02,34076.25,34639.79
2021-12-01,34678.94,34022.04
2021-11-30,35056.99,34483.72
2021-11-29,35017.71,35135.94
2021-11-26,35366.69,34899.34
2021-11-24,35752.31,35804.38
2021-11-23,35619.92,35813.8
2021-11-22,35631.41,35619.25
2021-11-19,35879.09,35601.98
2021-11-18,35901.69,35870.95
2021-11-17,36159.7,35931.05
2021-11-16,36076.18,36142.22
2021-11-15,36128.83,36087.45
2021-11-12,35963.78,36100.31
2021-11-11,36038.78,35921.23
2021-11-10,36299.25,36079.94
2021-11-09,36404.53,36319.98
2021-11-08,36416.46,36432.22
2021-11-05,36268.75,36327.95
2021-11-04,36107.46,36124.23
2021-11-03,36059.09,36157.58
2021-11-02,35935.11,36052.63
2021-11-01,35833.65,35913.84
2021-10-29,35712.28,35819.56
2021-10-28,35545.41,35730.48
2021-10-27,35835.43,35490.69
2021-10-26,35791.05,35756.88
2021-10-25,35692.62,35741.15
2021-10-22,35607.72,35677.02
2021-10-21,35520.32,35603.08
2021-10-20,35475.16,35609.34
2021-10-19,35325.37,35457.31
2021-10-18,35221.02,35258.61
2021-10-15,35023.63,35294.76
2021-10-14,34443.22,34912.56
2021-10-13,34372.71,34377.81
2021-10-12,34507.15,34378.34
2021-10-11,34723.79,34496.06
2021-10-08,34757.57,34746.25
2021-10-07,34509.72,34754.94
2021-10-06,34198.96,34416.99
2021-10-05,34035.25,34314.67
2021-10-04,34312.96,34002.92
2021-10-01,33930.7,34326.46
2021-09-30,34467.98,33843.92
2021-09-29,34360.08,34390.72
2021-09-28,34747.7,34299.99
2021-09-27,34739.27,34869.37
2021-09-24,34762.31,34798.0
2021-09-23,34296.3,34764.82
2021-09-22,34006.87,34258.32
2021-09-21,34025.61,33919.84
2021-09-20,34459.72,33970.47
2021-09-17,34737.86,34584.88
2021-09-16,34810.27,34751.32
2021-09-15,34580.95,34814.39
2021-09-14,34906.9,34577.57
2021-09-13,34665.5,34869.63
2021-09-10,34949.59,34607.72
2021-09-09,35013.08,34879.38
2021-09-08,35087.45,35031.07
2021-09-07,35373.24,35100.0
2021-09-03,35401.73,35369.09
2021-09-02,35353.06,35443.82
2021-09-01,35387.55,35312.53
2021-08-31,35391.38,35360.73
2021-08-30,35471.8,35399.84
2021-08-27,35231.11,35455.8
2021-08-26,35449.68,35213.12
2021-08-25,35388.77,35405.5
2021-08-24,35382.72,35366.26
2021-08-23,35160.97,35335.71
2021-08-20,34917.96,35120.08
2021-08-19,34874.67,34894.12
2021-08-18,35310.2,34960.69
2021-08-17,35500.01,35343.28
2021-08-16,35490.83,35625.4
2021-08-13,35551.56,35515.38
2021-08-12,35481.94,35499.85
2021-08-11,35300.89,35484.97
2021-08-10,35135.17,35264.67
2021-08-09,35229.67,35101.85
2021-08-06,35077.44,35208.51
2021-08-05,34815.61,35064.25
2021-08-04,35047.44,34792.67
2021-08-03,34864.1,35116.4
2021-08-02,34968.56,34838.16
2021-07-30,35013.26,34935.47
2021-07-29,34985.99,35084.53
2021-07-28,35109.95,34930.93
2021-07-27,35078.9,35058.52
2021-07-26,35055.86,35144.31
2021-07-23,34855.11,35061.55
2021-07-22,34799.68,34823.35
2021-07-21,34556.96,34798.0
2021-07-20,33981.79,34511.99
2021-07-19,34528.48,33962.04
2021-07-16,35007.94,34687.85
2021-07-15,34924.81,34987.02
2021-07-14,34920.83,34933.23
2021-07-13,34959.96,34888.79
2021-07-12,34836.75,34996.18
2021-07-09,34457.51,34870.16
2021-07-08,34569.01,34421.93
2021-07-07,34604.17,34681.79
2021-07-06,34790.16,34577.37
2021-07-02,34642.42,34786.35
2021-07-01,34507.32,34633.53
2021-06-30,34290.74,34502.51
2021-06-29,34338.89,34292.29
2021-06-28,34428.1,34283.27
2021-06-25,34328.1,34433.84
2021-06-24,33933.91,34196.82
2021-06-23,33948.54,33874.24
2021-06-22,33872.56,33945.58
2021-06-21,33312.07,33876.97
2021-06-18,33622.7,33290.08
2021-06-17,34014.38,33823.45
2021-06-16,34308.48,34033.67
2021-06-15,34397.1,34299.33
2021-06-14,34472.52,34393.75
2021-06-11,34499.81,34479.6
2021-06-10,34502.51,34466.24
2021-06-09,34626.16,34447.14
2021-06-08,34645.84,34599.82
2021-06-07,34766.2,34630.24
2021-06-04,34618.69,34756.39
2021-06-03,34550.31,34577.04
2021-06-02,34614.62,34600.38
2021-06-01,34584.19,34575.31
2021-05-28,34558.5,34529.45
2021-05-27,34432.47,34464.64
2021-05-26,34336.34,34323.05
2021-05-25,34428.66,34312.46
2021-05-24,34253.87,34393.98
2021-05-21,34121.91,34207.84
2021-05-20,33906.3,34084.15
2021-05-19,33945.81,33896.04
2021-05-18,34351.18,34060.66
2021-05-17,34375.29,34327.79
2021-05-14,34050.86,34382.13
2021-05-13,33624.74,34021.45
2021-05-12,34206.4,33587.66
2021-05-11,34572.74,34269.16
2021-05-10,34785.27,34742.82
2021-05-07,34578.27,34777.76
2021-05-06,34245.11,34548.53
2021-05-05,34163.99,34230.34
2021-05-04,34080.2,34133.03
2021-05-03,33904.89,34113.23
2021-04-30,33988.75,33874.85
2021-04-29,33855.64,34060.36
2021-04-28,33860.46,33820.38
2021-04-27,33932.13,33984.93
2021-04-26,34044.23,33981.57
2021-04-23,33804.52,34043.49
2021-04-22,34109.88,33815.9
2021-04-21,33808.3,34137.31
2021-04-20,34034.18,33821.3
2021-04-19,34182.38,34077.63
2021-04-16,34058.16,34200.67
2021-04-15,33788.53,34035.99
2021-04-14,33668.95,33730.89
2021-04-13,33721.16,33677.27
2021-04-12,33775.06,33745.4
2021-04-09,33526.19,33800.6
2021-04-08,33469.89,33503.57
2021-04-07,33444.98,33446.26
2021-04-06,33500.02,33430.24
2021-04-05,33222.38,33527.19
2021-04-01,33054.58,33153.21
2021-03-31,33116.04,32981.55
2021-03-30,33127.88,33066.96
2021-03-29,33087.55,33171.37
2021-03-26,32681.07,33072.88
2021-03-25,32346.81,32619.48
2021-03-24,32470.88,32420.06
2021-03-23,32691.5,32423.15
2021-03-22,32601.82,32731.2
2021-03-19,32858.36,32627.97
2021-03-18,32928.16,32862.3
2021-03-17,32825.52,33015.37
2021-03-16,32966.75,32825.95
2021-03-15,32798.84,32953.46
2021-03-12,32462.4,32778.64
2021-03-11,32354.5,32485.59
2021-03-10,31906.96,32297.02
2021-03-09,31892.35,31832.74
2021-03-08,31512.15,31802.44
2021-03-05,31029.18,31496.3
2021-03-04,31289.01,30924.14
2021-03-03,31352.96,31270.09
2021-03-02,31535.37,31391.52
2021-03-01,31065.9,31535.51
2021-02-26,31401.29,30932.37
2021-02-25,31955.94,31402.01
2021-02-24,31499.75,31961.86
2021-02-23,31501.89,31537.35
